x,y,z,CdrA_molecule,Cell,Tomogram
829.723,984.371,154.44,17,1,d01t11_even
821.763,979.52,157.603,17,1,d01t11_even
936.263,1008.4,137.501,18,1,d01t11_even
915.904,981.026,136.087,18,1,d01t11_even
904.462,959.873,135.078,18,1,d01t11_even
900.41,947.595,134.546,18,1,d01t11_even
397.488,1302.19,265.107,19,1,d01t11_even
392.107,1293.3,261.488,19,1,d01t11_even
388.907,1285.85,258.609,19,1,d01t11_even
391.66,1268.72,253.401,19,1,d01t11_even
386.384,1252.12,247.259,19,1,d01t11_even
378.163,1237.64,241.397,19,1,d01t11_even
417.167,1278.04,217.183,20,1,d01t11_even
407.367,1276.05,220.785,20,1,d01t11_even
397.332,1271.54,225.252,20,1,d01t11_even
385.911,1255.36,233.637,20,1,d01t11_even
377.596,1234.95,242.339,20,1,d01t11_even
386.466,1297.69,212.196,21,1,d01t11_even
376.629,1294.7,214.168,21,1,d01t11_even
373.69,1288.22,216.055,21,1,d01t11_even
372.592,1278.86,218.342,21,1,d01t11_even
368.227,1263.52,222.42,21,1,d01t11_even
365.597,1248.86,226.173,21,1,d01t11_even
857.453,853.182,158.451,1,2,d01t11_even
868.416,854.451,158.912,1,2,d01t11_even
883.362,856.316,159.54,1,2,d01t11_even
892.315,858.036,159.917,1,2,d01t11_even
907.772,859.414,160.566,1,2,d01t11_even
919.758,859.707,161.068,1,2,d01t11_even
927.748,859.902,161.403,1,2,d01t11_even
934.241,860.061,161.675,1,2,d01t11_even
943.0,860.9,162.052,1,2,d01t11_even
869.942,756.876,172.737,2,2,d01t11_even
876.635,760.615,176.194,2,2,d01t11_even
883.223,767.869,180.309,2,2,d01t11_even
892.48,774.653,185.412,2,2,d01t11_even
896.504,778.862,187.881,2,2,d01t11_even
901.43,786.19,191.338,2,2,d01t11_even
907.39,792.244,194.959,2,2,d01t11_even
912.696,797.975,198.251,2,2,d01t11_even
918.381,802.11,201.379,2,2,d01t11_even
926.71,806.654,205.658,2,2,d01t11_even
934.56,810.517,209.609,2,2,d01t11_even
944.877,815.147,214.712,2,2,d01t11_even
950.261,818.242,217.51,2,2,d01t11_even
866.871,691.942,193.631,3,2,d01t11_even
877.299,693.721,196.927,3,2,d01t11_even
889.865,695.653,200.86,3,2,d01t11_even
897.006,698.528,203.412,3,2,d01t11_even
908.708,704.241,207.771,3,2,d01t11_even
919.16,709.569,211.705,3,2,d01t11_even
930.14,714.048,215.639,3,2,d01t11_even
935.336,718.852,217.978,3,2,d01t11_even
938.847,724.571,219.998,3,2,d01t11_even
870.624,700.452,175.026,4,2,d01t11_even
877.674,701.109,178.995,4,2,d01t11_even
888.051,700.441,184.777,4,2,d01t11_even
900.329,700.238,191.64,4,2,d01t11_even
908.453,698.864,196.137,4,2,d01t11_even
916.363,697.897,200.527,4,2,d01t11_even
927.259,693.991,206.482,4,2,d01t11_even
932.985,692.642,209.637,4,2,d01t11_even
938.858,690.563,212.847,4,2,d01t11_even
948.905,686.909,218.336,4,2,d01t11_even
873.103,687.283,138.215,5,2,d01t11_even
877.315,685.672,142.51,5,2,d01t11_even
880.673,685.274,146.648,5,2,d01t11_even
883.806,685.475,150.972,5,2,d01t11_even
887.191,687.15,156.819,5,2,d01t11_even
892.374,686.696,163.336,5,2,d01t11_even
